Time stamp,X-coordinate,Y-coordinate,Button status,Azimuth,Altitude,Pressure,x_dot,y_dot,pressure_dot,altitude_dot,azimuth_dot,path_tan_angle,path_velocity,log_curve,total_accelaration,path_tan_angle_dot,path_velocity_dot,log_curve_dot,total_accelaration_dot,x_dot_dot,y_dot_dot,min_max_v,angle_of_two,angle_of_two_dot,angle_of_two_sin,angle_of_two_cos,five_window,seven_window
0.0,0.01695428398425669,0.9274249825540822,0.0,0.6666666666666661,0.20000000000000018,0.19042553191489361,0.4859335038363171,0.3760539629005059,0.6770538243626063,0.5,0.5,0.5,0.0,0.0,0.0,0.4974718494771094,0.08963482055945192,0.4021087113451018,0.08334698049959334,0.8956043956043956,0.08679446219382324,0.0,0.5,0.893288769184435,0.5,0.0,0.0,0.0
10.0,0.00605510142294885,0.9332402884391718,1.0,0.6666666666666661,0.20000000000000018,0.23085106382978723,0.3938618925831202,0.418212478920742,0.7847025495750709,0.5,0.5,0.3067898257424229,0.10537573839729222,0.0,0.0,0.4974718494771094,0.08963482055945192,0.4021087113451018,0.08334698049959334,0.8956043956043956,0.08679446219382324,0.32013828635646324,0.5,0.893288769184435,0.5,0.0,0.05282950179702435,0.05826618164422203
20.0,0.0,0.9390555943242614,1.0,0.6666666666666661,0.20000000000000018,0.2595744680851064,0.43478260869565216,0.418212478920742,0.7535410764872522,0.5,0.5,0.21477671252272273,0.076973082901294,0.361903539480785,0.003758489132982332,0.4512326698669601,0.08678777508726922,0.4021087113451018,0.08334698049959334,0.9043956043956044,0.08679446219382324,0.438267600081911,0.5,0.893288769184435,0.5,1.0,0.054727296109806686,0.05816260369755825
30.0,0.0,0.9427773900907187,1.0,0.7037037037037033,0.2999999999999998,0.30319148936170215,0.4859335038363171,0.40303541315345703,0.793201133144476,1.0,0.75,1.0,0.0384677629467476,0.14374033562995034,0.010667927834272901,0.8920686558805696,0.08577509706116904,0.23444718130077502,0.0839852009345799,0.9065934065934066,0.08439829605963793,0.5345541276656177,0.3654014149002546,0.8780533751913527,0.29481766133560106,0.9119215051751064,0.05437908709155218,0.056826234902256335
40.0,0.0027247956403269047,0.9451035124447545,1.0,0.7777777777777777,0.20000000000000018,0.3606382978723405,0.5089514066496164,0.39291736930860033,0.8300283286118981,0.0,1.0,0.7667377083565741,0.03234567628859341,0.22373232300977364,0.0025502091991807213,0.38025098147080744,0.08902115050656324,0.46358369318739995,0.08259715201968812,0.9005494505494506,0.08519701810436636,0.31939097770470815,0.31283295818900114,0.8873384752120971,0.22264990188738543,0.8320502943378436,0.05043773433270288,0.05495724363291024
50.0,0.007871631849833416,0.9476622470341939,1.0,0.7777777777777777,0.20000000000000018,0.4095744680851064,0.5294117647058824,0.3946037099494098,0.8073654390934845,0.5,0.5,0.6828069051277106,0.04868205209861013,0.33374916674582616,0.0021642491165335433,0.4552942581586079,0.09127235775340677,0.4866582230219015,0.08331132961353967,0.9,0.08706070287539938,0.37892496011379795,0.5395834241605656,0.9189549579087197,0.5620173672946043,0.9922778767136676,0.05023574207009865,0.08561024832024583
60.0,0.013926733272782266,0.9497557571528262,1.0,0.8148148148148149,0.2999999999999998,0.4340425531914894,0.5370843989769821,0.3912310286677909,0.7422096317280454,1.0,0.75,0.6345985850997454,0.05272899411907313,0.38251605234171937,0.0009326066219591632,0.47324581157364043,0.09004048079629733,0.4395867576433883,0.08323321446987397,0.8972527472527473,0.08626198083067095,0.3240979456760137,0.31283295818900114,0.8676225804601503,0.22264990188738543,0.8320502943378436,0.04941088068294847,0.11879311312960841
70.0,0.021495610051468383,0.9516166550360549,1.0,0.8148148148148149,0.2999999999999998,0.4712765957446809,0.5498721227621484,0.38954468802698144,0.7762039660056658,0.5,0.5,0.598581509028094,0.06310831133485963,0.4187443575623319,0.0013123790668230428,0.4793722548515802,0.09067522990032205,0.42995068000427966,0.0833820598375013,0.8983516483516484,0.0865282215122471,0.32842916561546226,0.43716704181099886,0.9073623105173264,0.40194193243090803,0.9805806756909202,0.08188624860280394,0.15051646622053852
80.0,0.03451407811080831,0.9537101651546872,1.0,0.8518518518518512,0.2999999999999998,0.4968085106382979,0.5959079283887467,0.3912310286677909,0.7450424929178471,0.5,0.75,0.5656749352255959,0.10562229577206625,0.4652833531112497,0.0045724150729656654,0.48093536980409496,0.09389636740367037,0.43787459240446086,0.08364810794103422,0.9054945054945055,0.08706070287539938,0.5496810441772606,0.5176657228881346,0.9024005226343303,0.5277350098112614,0.9984603532054124,0.15122452547779464,0.23692697597869858
90.0,0.05116560702391759,0.9558036752733193,1.0,0.8888888888888884,0.2999999999999998,0.502127659574468,0.6265984654731458,0.3912310286677909,0.6912181303116148,0.5,0.75,0.5516294922188729,0.13399163117685195,0.5490285139499165,0.0030187281346913818,0.4904136189796662,0.09247852606876275,0.4664680604570597,0.0832034674305226,0.9021978021978022,0.08679446219382324,0.6973211403703,0.5,0.8912891623670685,0.5,1.0,0.2747590050263147,0.3554122567393556
